iter	Passed	Remaining
0	1	1551
1	3	1537
2	4	1516
3	5	1320
4	6	1355
5	8	1374
6	9	1398
7	11	1407
8	12	1411
9	14	1413
10	15	1422
11	17	1426
12	18	1382
13	19	1354
14	20	1361
15	21	1335
16	23	1350
17	24	1358
18	26	1348
19	27	1352
20	29	1359
21	30	1365
22	31	1347
23	33	1350
24	34	1352
25	36	1355
26	37	1355
27	39	1360
28	41	1373
29	42	1367
30	43	1364
31	44	1352
32	45	1335
33	46	1320
34	47	1315
35	49	1317
36	50	1319
37	52	1320
38	53	1322
39	54	1310
40	55	1305
41	57	1306
42	58	1308
43	60	1309
44	61	1310
45	63	1311
46	64	1303
47	65	1305
48	67	1305
49	68	1310
50	70	1314
51	71	1311
52	73	1311
53	75	1314
54	76	1315
55	77	1308
56	79	1307
57	80	1303
58	81	1303
59	83	1303
60	84	1304
61	86	1303
62	87	1305
63	88	1298
64	90	1298
65	91	1299
66	93	1298
67	94	1299
68	96	1300
69	97	1300
70	99	1300
71	100	1300
72	102	1300
73	103	1299
74	105	1298
75	106	1297
76	108	1299
77	109	1299
78	110	1290
79	112	1290
80	114	1293
81	115	1294
82	117	1297
83	118	1296
84	120	1296
85	121	1289
86	122	1288
87	124	1287
88	125	1287
89	127	1287
90	128	1286
91	130	1286
92	131	1285
93	133	1285
94	134	1284
95	136	1283
96	137	1282
97	139	1281
98	140	1281
99	142	1280
100	143	1277
101	145	1276
102	146	1275
103	147	1272
104	149	1272
105	150	1271
106	152	1271
107	153	1271
108	155	1270
109	156	1266
110	158	1265
111	159	1264
112	160	1260
113	162	1259
114	163	1258
115	165	1257
116	166	1256
117	167	1251
118	168	1250
119	170	1249
120	171	1248
121	173	1248
122	174	1247
123	176	1246
124	177	1244
125	179	1243
126	180	1239
127	181	1238
128	183	1235
129	183	1230
130	185	1229
131	186	1228
132	188	1227
133	189	1222
134	190	1221
135	192	1220
136	193	1220
137	195	1219
138	196	1219
139	197	1213
140	199	1212
141	200	1212
142	202	1211
143	203	1211
144	205	1210
145	206	1209
146	208	1208
147	209	1204
148	210	1203
149	212	1202
150	213	1201
151	215	1200
152	216	1200
153	218	1201
154	220	1201
155	221	1199
156	223	1198
157	224	1197
158	226	1196
159	227	1195
160	229	1194
161	230	1191
162	231	1190
163	232	1187
164	234	1186
165	235	1182
166	236	1181
167	238	1180
168	239	1180
169	241	1178
170	242	1178
171	244	1176
172	246	1176
173	247	1175
174	248	1172
175	250	1170
176	251	1169
177	253	1168
178	254	1167
179	256	1166
180	257	1165
181	259	1164
182	260	1163
183	262	1162
184	263	1161
185	265	1160
186	266	1159
187	268	1158
188	269	1156
189	271	1155
190	272	1154
191	274	1153
192	275	1152
193	277	1151
194	278	1150
195	280	1149
196	281	1148
197	283	1147
198	284	1146
199	286	1145
200	287	1141
201	288	1139
202	290	1139
203	291	1138
204	293	1136
205	294	1135
206	296	1134
207	297	1131
208	298	1130
209	299	1127
210	301	1126
211	302	1124
212	304	1123
213	305	1122
214	307	1121
215	308	1120
216	310	1119
217	311	1117
218	313	1116
219	314	1115
220	316	1113
221	317	1112
222	319	1111
223	320	1110
224	322	1109
225	323	1108
226	325	1106
227	326	1105
228	327	1102
229	328	1101
230	330	1100
231	331	1098
232	333	1098
233	335	1096
234	336	1095
235	337	1094
236	339	1092
237	340	1090
238	341	1088
239	343	1087
240	344	1086
241	346	1085
242	347	1083
243	349	1081
244	350	1080
245	352	1079
246	353	1078
247	355	1077
248	356	1075
249	358	1074
250	359	1071
251	360	1070
252	362	1069
253	363	1068
254	365	1067
255	366	1066
256	368	1065
257	369	1064
258	371	1062
259	373	1061
260	374	1060
261	375	1058
262	377	1056
263	378	1055
264	380	1054
265	381	1053
266	383	1051
267	384	1050
268	386	1049
269	387	1048
270	389	1046
271	390	1045
272	392	1044
273	393	1043
274	395	1041
275	396	1040
276	398	1040
277	400	1039
278	401	1038
279	402	1035
280	404	1034
281	405	1033
282	407	1032
283	408	1030
284	410	1029
285	411	1028
286	413	1026
287	414	1025
288	416	1023
289	417	1022
290	419	1021
291	420	1020
292	422	1018
293	424	1018
294	425	1017
295	427	1015
296	428	1014
297	430	1013
298	431	1011
299	433	1010
300	434	1008
301	435	1007
302	437	1006
303	439	1005
304	440	1003
305	441	1002
306	443	1000
307	444	999
308	446	998
309	447	996
310	449	995
311	450	994
312	452	992
313	453	991
314	455	990
315	456	988
316	458	987
317	459	986
318	461	984
319	462	983
320	464	982
321	465	980
322	467	979
323	468	978
324	470	977
325	471	975
326	473	974
327	474	972
328	476	971
329	477	970
330	479	968
331	480	967
332	482	966
333	484	965
334	485	963
335	487	962
336	488	961
337	490	960
338	491	958
339	493	957
340	494	955
341	495	953
342	497	952
343	498	951
344	500	950
345	501	948
346	503	947
347	505	946
348	506	944
349	507	943
350	509	941
351	510	940
352	512	939
353	513	937
354	515	936
355	516	935
356	518	933
357	519	932
358	521	930
359	522	929
360	524	928
361	525	926
362	527	925
363	528	924
364	530	922
365	531	921
366	533	919
367	534	918
368	535	916
369	537	914
370	538	913
371	540	912
372	541	910
373	543	909
374	544	908
375	546	906
376	547	904
377	548	902
378	550	901
379	551	900
380	553	898
381	554	897
382	556	896
383	557	894
384	559	893
385	560	892
386	562	890
387	563	889
388	564	886
389	565	885
390	567	883
391	568	882
392	570	880
393	571	879
394	573	878
395	575	877
396	575	874
397	577	873
398	578	872
399	580	870
400	581	869
401	583	867
402	584	866
403	586	865
404	587	863
405	588	861
406	589	859
407	591	858
408	592	856
409	594	855
410	596	854
411	597	852
412	599	851
413	600	850
414	602	848
415	603	847
416	605	846
417	607	845
418	608	843
419	610	842
420	611	841
421	613	839
422	614	838
423	616	836
424	617	835
425	618	833
426	620	832
427	621	830
428	622	829
429	624	827
430	625	826
431	626	824
432	628	822
433	629	821
434	631	820
435	632	818
436	634	817
437	635	816
438	637	814
439	638	813
440	640	811
441	642	810
442	643	809
443	645	807
444	646	806
445	648	804
446	649	803
447	650	802
448	652	800
449	653	798
450	655	797
451	656	796
452	658	794
453	659	793
454	661	791
455	662	790
456	664	789
457	665	787
458	667	786
459	668	784
460	670	783
461	671	781
462	672	779
463	673	778
464	675	776
465	676	775
466	678	773
467	679	772
468	681	771
469	682	769
470	683	767
471	684	766
472	686	764
473	687	763
474	688	761
475	690	759
476	691	758
477	693	756
478	694	755
479	696	754
480	697	752
481	699	751
482	700	749
483	702	748
484	703	747
485	705	745
486	706	744
487	707	742
488	709	741
489	710	739
490	712	738
491	713	736
492	715	735
493	716	734
494	717	732
495	719	730
496	720	729
497	722	728
498	723	726
499	725	725
500	726	723
501	727	721
502	728	720
503	730	718
504	731	717
505	733	715
506	734	714
507	736	713
508	737	711
509	739	710
510	740	708
511	742	707
512	743	705
513	744	704
514	746	702
515	747	701
516	749	699
517	750	698
518	751	696
519	752	694
520	754	693
521	756	692
522	757	691
523	759	689
524	760	688
525	762	686
526	763	685
527	765	683
528	766	682
529	768	681
530	769	679
531	770	678
532	772	676
533	773	675
534	775	674
535	776	671
536	777	670
537	779	669
538	780	667
539	782	666
540	783	664
541	785	663
542	786	662
543	788	660
544	789	659
545	790	657
546	792	656
547	793	654
548	795	653
549	796	651
550	798	650
551	799	648
552	800	647
553	802	645
554	803	644
555	805	643
556	806	641
557	807	639
558	809	638
559	810	636
560	812	635
561	813	634
562	815	632
563	816	631
564	818	629
565	819	628
566	820	626
567	822	625
568	823	623
