iter	RMSE
0	0.8983799774
1	0.8517578075
2	0.8299447042
3	0.8118310936
4	0.8023423861
5	0.7954655424
6	0.7911007898
7	0.7883676153
8	0.7840013743
9	0.7826648028
10	0.7803109968
11	0.7786950691
12	0.776963218
13	0.7738653076
14	0.7726185786
15	0.7716164584
16	0.7688098234
17	0.7673944841
18	0.7663526772
19	0.7646598817
20	0.7633212855
21	0.7624486774
22	0.7616256927
23	0.7601594871
24	0.7588145973
25	0.758021835
26	0.7566146186
27	0.7555462109
28	0.754599013
29	0.7531919688
30	0.7521698742
31	0.7508496439
32	0.7498405334
33	0.7486040203
34	0.7476772298
35	0.7469495347
36	0.7452181561
37	0.7436672914
38	0.7430812095
39	0.7421136394
40	0.7411097792
41	0.7398995639
42	0.7389803944
43	0.737597386
44	0.7369399402
45	0.7357951643
46	0.7352243854
47	0.7342075255
48	0.7337998419
49	0.7323925188
50	0.731535883
51	0.7299580347
52	0.7295573544
53	0.7286819356
54	0.728207588
55	0.7273541782
56	0.7265541683
57	0.725997674
58	0.7249740207
59	0.7240775772
60	0.7234240932
61	0.7226746101
62	0.7213817553
63	0.7205337306
64	0.7192794057
65	0.7188872941
66	0.7179226052
67	0.7175947557
68	0.7170121839
69	0.7164129362
70	0.7160651537
71	0.7151952137
72	0.71461541
73	0.7143096081
74	0.7133378317
75	0.7129648754
76	0.7119958171
77	0.7109717511
78	0.7104850749
79	0.7095326749
80	0.7086738859
81	0.7080743562
82	0.7078089583
83	0.7072697831
84	0.7067005992
85	0.7059645824
86	0.7052558902
87	0.7049464944
88	0.7037603085
89	0.7030854443
90	0.7026905645
91	0.7021215534
92	0.701650307
93	0.7011846641
94	0.7004944219
95	0.6992365532
96	0.698553537
97	0.698012064
98	0.6976117127
99	0.6970490217
