iter	Passed	Remaining
0	144	14352
1	150	7361
2	157	5106
3	165	3967
4	171	3265
5	178	2795
6	184	2447
7	190	2191
8	197	1994
9	203	1830
10	208	1687
11	214	1576
12	221	1480
13	228	1401
14	234	1326
15	240	1263
16	247	1210
17	254	1159
18	262	1120
19	270	1080
20	279	1049
21	287	1019
22	298	998
23	308	976
24	314	944
25	324	924
26	333	901
27	344	885
28	351	860
29	362	846
30	374	834
31	383	814
32	391	795
33	399	776
34	407	756
35	417	741
36	424	723
37	432	705
38	440	689
39	450	675
40	458	660
41	467	645
42	475	630
43	484	616
44	491	600
45	501	588
46	508	573
47	515	558
48	523	544
49	533	533
50	541	520
51	549	507
52	559	495
53	567	483
54	578	473
55	587	461
56	594	448
57	602	436
58	610	424
59	620	413
60	630	403
61	638	391
62	647	380
63	655	368
64	664	357
65	674	347
66	681	335
67	690	325
68	698	313
69	707	303
70	721	294
71	728	283
72	737	272
73	746	262
74	756	252
75	762	240
76	772	230
77	780	220
78	788	209
79	796	199
80	804	188
81	813	178
82	820	168
83	829	157
84	837	147
85	845	137
86	854	127
87	864	117
88	875	108
89	883	98
90	890	88
91	898	78
92	910	68
93	917	58
94	924	48
95	936	39
96	945	29
97	955	19
98	964	9
99	973	0
